block_order,judgment,video_id
1,self_other,14
1,self_other,21
1,self_other,15
2,mentalizing,10
2,mentalizing,11
2,mentalizing,15
3,self_other,11
3,self_other,19
3,self_other,9
4,likeability,15
4,likeability,5
4,likeability,17
5,mentalizing,7
5,mentalizing,6
5,mentalizing,17
6,likeability,10
6,likeability,7
6,likeability,2
7,mentalizing,8
7,mentalizing,20
7,mentalizing,12
8,likeability,12
8,likeability,19
8,likeability,18
9,self_other,20
9,self_other,5
9,self_other,18
10,mentalizing,21
10,mentalizing,3
10,mentalizing,9
11,likeability,6
11,likeability,8
11,likeability,20
12,self_other,2
12,self_other,4
12,self_other,6
13,mentalizing,2
13,mentalizing,5
13,mentalizing,13
14,likeability,9
14,likeability,4
14,likeability,16
15,self_other,12
15,self_other,1
15,self_other,10
16,mentalizing,4
16,mentalizing,16
16,mentalizing,1
17,likeability,3
17,likeability,13
17,likeability,14
18,self_other,17
18,self_other,13
18,self_other,3
19,mentalizing,14
19,mentalizing,19
19,mentalizing,18
20,likeability,11
20,likeability,21
20,likeability,1
21,self_other,7
21,self_other,16
21,self_other,8
